date,description,amount
01-01-2024,WALMART GROCERY STORE,156.78
02-01-2024,NETFLIX SUBSCRIPTION,156.78
03-01-2024,UBER TRIP #123-456,156.78
03-01-2024,SHELL GAS STATION,156.78
04-01-2024,STARBUCKS COFFEE,156.78
05-01-2024,AMAZON.COM PURCHASE,156.78
06-01-2024,AT&T WIRELESS BILL,156.78
07-01-2024,TRADER JOE'S GROCERY,156.78
08-01-2024,CHEVRON GAS,156.78
09-01-2024,TARGET STORE,156.78
10-01-2024,SPOTIFY PREMIUM,156.78
11-01-2024,CHIPOTLE MEXICAN GRILL,156.78
12-01-2024,HOME DEPOT PURCHASE,156.78
13-01-2024,CVS PHARMACY,156.78
14-01-2024,ELECTRIC BILL PAYMENT,156.78
15-01-2024,MCDONALDS RESTAURANT,156.78
16-01-2024,AMC MOVIE TICKETS,156.78
17-01-2024,GYM MEMBERSHIP,156.78
18-01-2024,UBER EATS DELIVERY,156.78
19-01-2024,INTERNET SERVICE BILL,156.78
20-01-2024,WHOLE FOODS MARKET,156.78
21-01-2024,LYFT RIDE,156.78
22-01-2024,INSURANCE PAYMENT,156.78
23-01-2024,APPLE MUSIC,156.78
24-01-2024,PIZZA HUT DELIVERY,156.78
25-01-2024,AMAZON PRIME,156.78
26-01-2024,PARKING GARAGE NYC,156.78
27-01-2024,WATER BILL,156.78
28-01-2024,DUNKIN DONUTS,156.78
29-01-2024,RENT PAYMENT,156.78
30-01-2024,SUBWAY RESTAURANT,156.78
31-01-2024,MOBILE PHONE BILL,156.78
