date,description,amount
01-01-2024,GYM MEMBERSHIP,317.95
02-01-2024,ELECTRICITY BILL,106.15
03-01-2024,LYFT RIDE #789-123,418.09
04-01-2024,TARGET GROCERY STORE,56.95
05-01-2024,LYFT RIDE #789-123,412.38
06-01-2024,HULU SUBSCRIPTION,48.72
07-01-2024,GYM MEMBERSHIP,384.61
08-01-2024,HOME DEPOT PURCHASE,114.71
09-01-2024,GYM MEMBERSHIP,387.56
10-01-2024,TARGET GROCERY STORE,443.6
11-01-2024,HULU SUBSCRIPTION,351.99
12-01-2024,HOME DEPOT PURCHASE,154.95
13-01-2024,HULU SUBSCRIPTION,489.87
14-01-2024,HOME DEPOT PURCHASE,391.66
15-01-2024,HULU SUBSCRIPTION,425.26
16-01-2024,ELECTRICITY BILL,418.54
17-01-2024,HOME DEPOT PURCHASE,161.1
18-01-2024,HULU SUBSCRIPTION,46.37
19-01-2024,HOME DEPOT PURCHASE,453.58
20-01-2024,DUNKIN DONUTS,214.66
21-01-2024,DUNKIN DONUTS,388.55
22-01-2024,ELECTRICITY BILL,331.54
23-01-2024,APPLE MUSIC,133.78
24-01-2024,WATER BILL,273.3
25-01-2024,BP GAS STATION,59.74
26-01-2024,ELECTRICITY BILL,362.42
27-01-2024,TARGET GROCERY STORE,380.58
28-01-2024,LYFT RIDE #789-123,85.97
29-01-2024,APPLE MUSIC,308.44
30-01-2024,HOME DEPOT PURCHASE,470.37
31-01-2024,DUNKIN DONUTS,160.8
01-02-2024,TARGET GROCERY STORE,353.75
